tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
	-	15S_RRNA,21S_RRNA,CDC65,EMT1,EMT2,EMT3,EMT4,EMT5,ETS1-1,ETS1-2,ETS2-1,ETS2-2,HRA1,HSX1,ICR1,IMT1,IMT2,IMT3,IMT4,ITS1-1,ITS1-2,ITS2-1,ITS2-2,LSR1,NME1,NTS1-2,NTS2-1,NTS2-2,PWR1,RDN18-1,RDN18-2,RDN25-1,RDN25-2,RDN37-1,RDN37-2,RDN5-1,RDN5-2,RDN5-3,RDN5-4,RDN5-5,RDN5-6,RDN58-1,RDN58-2,RNA170,RPM1,RPR1,RUF20,RUF21,RUF22,RUF23,RUF5-1,RUF5-2,SCR1,SNR10,SNR11,SNR128,SNR13,SNR14,SNR161,SNR17A,SNR17B,SNR18,SNR189,SNR19,SNR190,SNR191,SNR24,SNR3,SNR30,SNR31,SNR32,SNR33,SNR34,SNR35,SNR36,SNR37,SNR38,SNR39,SNR39B,SNR4,SNR40,SNR41,SNR42,SNR43,SNR44,SNR45,SNR46,SNR47,SNR48,SNR49,SNR5,SNR50,SNR51,SNR52,SNR53,SNR54,SNR55,SNR56,SNR57,SNR58,SNR59,SNR6,SNR60,SNR61,SNR62,SNR63,SNR64,SNR65,SNR66,SNR67,SNR68,SNR69,SNR7-L,SNR7-S,SNR70,SNR71,SNR72,SNR73,SNR74,SNR75,SNR76,SNR77,SNR78,SNR79,SNR8,SNR80,SNR81,SNR82,SNR83,SNR84,SNR85,SNR86,SNR87,SNR9,SOE1,SRG1,SUF1,SUF10,SUF11,SUF16,SUF17,SUF2,SUF20,SUF3,SUF4,SUF5,SUF6,SUF7,SUF8,SUF9,SUP11,SUP16,SUP17,SUP19,SUP2,SUP3,SUP4,SUP5,SUP51,SUP53,SUP54,SUP56,SUP6,SUP61,SUP7,SUP8,TLC1,TRN1,TRR4,TRT2	31943.8	33229.7	28220.1	33214.3	16002.5	24773.7	15687.1	20209.7	16685
HML	HML	HML	0	0	0	0	0	0	0.0174544	0.0168683	0
HMR	HMR	HMR	0	0	0	0	0	0	0	0	0
MATALPHA	MATALPHA	MATALPHA	0	0	0	0	0	0	0	0	0
Q0010	Q0010	Q0010	0	0	0	0	0	0	0	0	0
Q0017	Q0017	Q0017	0	0	0	0	0	0	0	0	0
Q0032	Q0032	Q0032	0	0	0	0	0	0	0	0	0
Q0045	Q0045	COX1	0.0914325	0	0.0428718	0.0858418	6.70794e-06	0.0383969	0.0434198	6.75333e-06	0
Q0050	Q0050	AI1	0.145404	0.226215	0	0.0783994	0.11148	0.233787	0.0265495	0.153947	0.0542308
Q0055	Q0055	AI2	0.0202443	0.0881864	0.0511067	0.152814	0.0434588	0.0455691	0.0517495	0.125029	0.0264263
Q0060	Q0060	AI3	0	0	0.0577883	0	0.098281	0	0	0	0
Q0065	Q0065	AI4	0.0430044	0.141927	0.000182527	0.0409899	0.139879	0	0.000176571	0	0
Q0070	Q0070	AI5_ALPHA	0	0	0	0	0	0	0	0.104858	0
Q0075	Q0075	AI5_BETA	0	0	0	0	0	0	0	0.0685698	0
Q0080	Q0080	ATP8	0	0	0	0	0	0	0	0	0
Q0085	Q0085	ATP6	0	0	0	0	0	0.0933913	0	0	0.108319
Q0092	Q0092	Q0092	0	0	0	0	0	0	0	0	0
Q0105	Q0105	COB	0.0501007	0.0545598	0	0.0630304	0.0537716	0.0959028	0	0.12377	0.130801
Q0110	Q0110	BI2	0	0	0	0	0	0	0	0	0
Q0115	Q0115	BI3	0	0	0	0	3.36409e-06	0	0	0.0437323	0
Q0120	Q0120	BI4	0	8.41366e-07	0	5.42571e-07	0	0.0408002	0	0	0
Q0130	Q0130	OLI1	1.04598	5.69552	1.32029	2.63187	0	3.5317	0	2.58401	0
Q0140	Q0140	VAR1	0	0	0	0.0605558	0	0	0	0	0
Q0142	Q0142	Q0142	0	0	0	0	0	0	0	0	0
Q0143	Q0143	Q0143	0	0	0	0	0	0	0	0	0
Q0144	Q0144	Q0144	0	0	0	0	0	0	0	0	0
Q0160	Q0160	SCEI	0.0948322	0.103276	0	0.357924	0.305369	0.106733	0	0.117138	0.123792
Q0182	Q0182	Q0182	0	0	0	0	0	0	0	0	0
Q0250	Q0250	COX2	0.0865862	0.188591	0	0	0.0929387	0.292355	0	0.106952	0
Q0255	Q0255	Q0255	0.0393384	0	0	0	0	0	0	0	0
Q0275	Q0275	COX3	0	0	0	0.198454	0.0846572	0	0.100808	0	0.102956
Q0297	Q0297	Q0297	4.23657	0	0	0	0	0	0	0	0
R0010W	R0010W	FLP1	573.016	450.237	558.909	394.067	452.934	478.756	445.018	446.934	433.999
R0020C	R0020C	REP1	632.074	563.948	671.592	568.895	528.395	555.167	550.474	590.061	543.857
R0030W	R0030W	RAF1	509.672	401.792	581.421	442.187	529.364	464.315	555.333	482.653	528.313
R0040C	R0040C	REP2	537.442	670.908	625.085	609.018	690.379	701.744	683.011	654.574	687.308
YAL001C	YAL001C	TFC3	14.8098	15.3505	14.7011	15.001	15.38	15.7495	14.6811	14.9983	14.994
YAL002W	YAL002W	VPS8	10.9558	10.81	12.063	10.4289	12.9639	11.365	11.8098	12.7665	12.4062
YAL003W	YAL003W	EFB1	3978	4807.01	3619.36	5181.78	4738.83	4595.88	4932.52	4396.08	4972.73
YAL004W	YAL004W	YAL004W	67.6337	47.3774	290.357	47.2651	217.541	47.0842	214.87	272.498	232.873
YAL005C	YAL005C	SSA1	36.8436	28.6319	155.117	38.1012	118.882	27.8911	122.9	153.488	130.817
YAL007C	YAL007C	ERP2	286.018	305.27	286.432	330.179	298.221	293.56	301.867	296.118	290.737
YAL008W	YAL008W	FUN14	62.8755	71.1225	80.2862	70.688	65.7914	69.3969	60.6223	66.5483	72.0749
YAL009W	YAL009W	SPO7	54.102	47.0809	64.8342	49.6919	49.9662	48.937	46.4533	53.913	47.8768
YAL010C	YAL010C	MDM10	24.8705	20.6496	24.0758	20.0911	25.7317	21.7618	22.3232	23.0056	23.1408
YAL011W	YAL011W	SWC3	21.1	24.72	19.75	26.2585	26.0805	24.6155	22.699	22.9948	23.891
YAL012W	YAL012W	CYS3	434.208	449.999	609.152	414.119	553.87	407.156	558.403	670.726	597.654
YAL013W	YAL013W	DEP1	61.7955	71.2501	61.283	56.8703	56.9187	62.123	59.403	60.7269	59.3156
YAL014C	YAL014C	SYN8	90.7608	106.778	95.6301	95.8476	89.6878	93.1846	95.5332	91.4876	97.5697
YAL015C	YAL015C	NTG1	38.1505	33.6558	43.3705	33.4469	33.3261	30.5156	34.7157	35.0911	36.0822
YAL016C-A	YAL016C-A	YAL016C-A	11.0141	10.1864	11.161	6.35666	4.58069	5.28323	8.07241	13.6516	8.79412
YAL016C-B	YAL016C-B	YAL016C-B	19.8618	16.8235	38.9989	27.7645	30.7941	14.9028	8.46204	27.2596	23.0464
YAL016W	YAL016W	TPD3	122.572	120.44	129.726	120.617	126.447	117.307	122.682	130.957	123.613
YAL017W	YAL017W	PSK1	9.05996	8.97821	12.4501	8.988	10.7727	9.16745	10.0159	10.8398	10.5037
YAL018C	YAL018C	YAL018C	0.555766	0.1345	0.389734	0.0776895	0.265129	0.278004	0.157854	0.305107	0.161219
YAL019W	YAL019W	FUN30	47.6617	47.7144	43.9445	48.0947	47.1886	50.289	50.9087	46.8316	49.1205
YAL019W-A	YAL019W-A	YAL019W-A	20.8994	27.9497	28.9334	23.9865	27.7533	25.1327	34.3832	32.1843	29.5763
YAL020C	YAL020C	ATS1	19.2237	24.3603	25.5136	24.7158	26.4227	26.4924	27.7124	28.7403	29.1239
YAL021C	YAL021C	CCR4	44.6307	53.2237	46.7503	41.8584	58.5876	52.4669	60.0854	55.8952	60.934
YAL022C	YAL022C	FUN26	50.2391	54.3266	56.4432	48.4175	56.9272	52.9971	56.8364	58.7324	57.3085
YAL023C	YAL023C	PMT2	176.312	239.95	189.364	212.751	233.335	238.654	232.473	232.401	232.229
YAL024C	YAL024C	LTE1	8.52511	7.96508	9.54074	7.03304	9.12556	8.44143	9.48212	9.23563	9.03052
YAL025C	YAL025C	MAK16	336.904	376.918	269.847	413.457	330.854	369.503	331.775	315.528	326.578
YAL026C	YAL026C	DRS2	24.4454	23.4538	20.9961	25.2335	25.4386	24.9572	24.3187	24.0844	23.8665
