target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3234	802	8.6547
YAL002W	3825	3576	605	5.9044
YAL003W	621	372	27213	2553
YAL005C	1929	1680	2995.5	62.2269
YAL007C	648	399	1667	145.808
YAL008W	597	348	388	38.9108
YAL009W	780	531	394	25.8952
YAL010C	1482	1233	384	10.8689
YAL011W	1878	1629	686	14.6967
YAL012W	1185	936	5827	217.263
YAL013W	1218	969	862	31.0457
YAL014C	768	519	729	49.0205
YAL015C	1200	951	528	19.3763
YAL016W	1908	1659	3172	66.7274
YAL017W	4071	3822	561	5.12259
YAL018C	978	729	1	0.0478729
YAL019W	3396	3147	2442	27.0811
YAL020C	1002	753	402	18.6315
YAL021C	2514	2265	1535	23.6515
YAL022C	1554	1305	979	26.1812
YAL023C	2280	2031	6735	115.73
YAL024C	4308	4059	480	4.12705
YAL025C	921	672	4329	224.821
YAL026C	4068	3819	1719	15.7088
YAL027W	786	537	275	17.8721
YAL028W	1587	1338	108	2.81699
YAL029C	4416	4167	2425	20.3098
YAL030W	354	105	235	78.1081
YAL031C	2283	2034	549	9.41974
YAL032C	1140	891	487	19.0752
YAL033W	522	273	420	53.6913
YAL034C	1242	993	301	10.5788
YAL034W-A	870	621	234	13.1505
YAL035W	3009	2760	13109	165.759
YAL036C	1110	861	3519	142.637
YAL037C-A	93	1.96996	0	0
YAL037W	804	555	136	8.55192
YAL038W	1503	1254	124503	3464.97
YAL039C	810	561	739	45.9726
YAL040C	1743	1494	1203	28.1017
YAL041W	2565	2316	1316	19.8306
YAL042W	1248	999	4666	163.003
YAL043C	2358	2109	1132	18.7321
YAL044C	513	264	1950	257.779
YAL044W-A	333	84	306	127.133
YAL046C	357	108	223	72.0607
YAL047C	1869	1620	360	7.75542
YAL048C	1989	1740	347	6.95982
YAL049C	741	492	761	53.9805
YAL051W	3144	2895	757	9.12567
YAL053W	2352	2103	1792	29.7383
YAL054C	2142	1893	264	4.86711
YAL055W	543	294	174	20.6547
YAL056W	2643	2394	1418	20.6714
YAL058W	1509	1260	665	18.4191
YAL059W	639	390	2746	245.727
YAL060W	1149	900	1324	51.3409
YAL061W	1254	1005	248	8.61198
YAL062W	1374	1125	217	6.7317
YAL063C	3969	3720	454.756	4.26632
YAL063C-A	291	42.1305	1	0.828364
YAL064C-A	381	132	5.58225	1.47589
YAL064W	285	36.3667	0	0
YAL064W-B	381	132	5.64148	1.49155
YAL065C	387	138	0	0
YAL067C	1782	1533	71	1.61634
YAL067W-A	228	7.24111	0	0
YAL068C	363	114	0	0
YAR002C-A	660	411	3234	274.61
YAR002W	1620	1371	1630	41.4923
YAR003W	1281	1032	725	24.5175
YAR007C	1866	1617	1103	23.8058
YAR008W	828	579	508	30.6198
YAR009C	3591	3342	12843.9	134.125
YAR010C	1323	1074	0	0
YAR014C	2130	1881	1885	34.9736
YAR015W	921	672	7294	378.804
YAR018C	1308	1059	495	16.3127
YAR019C	2925	2676	326	4.25157
YAR020C	168	3.12949	0	0
YAR023C	540	291	41	4.91709
YAR027W	708	459	473	35.9638
YAR028W	705	456	311	23.802
YAR029W	225	6.80143	0	0
YAR031W	897	648	228.107	12.2852
YAR033W	705	456	283.624	21.7068
YAR035C-A	81	1.87681	0	0
YAR035W	2064	1815	68	1.30752
YAR042W	3567	3318	1133	11.9171
