target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3234	811	10.6199
YAL002W	3825	3576	732	8.66869
YAL003W	621	372	22697	2583.84
YAL005C	1929	1680	13065.9	329.358
YAL007C	648	399	1487	157.826
YAL008W	597	348	382	46.4862
YAL009W	780	531	428	34.1342
YAL010C	1482	1233	421	14.4597
YAL011W	1878	1629	603	15.676
YAL012W	1185	936	9332	422.22
YAL013W	1218	969	904	39.508
YAL014C	768	519	681	55.5673
YAL015C	1200	951	553	24.6255
YAL016W	1908	1659	3429	87.5308
YAL017W	4071	3822	685	7.58996
YAL018C	978	729	6	0.348549
YAL019W	3396	3147	2384	32.0811
YAL020C	1002	753	481	27.0514
YAL021C	2514	2265	2059	38.4971
YAL022C	1554	1305	1210	39.2658
YAL023C	2280	2031	7376	153.798
YAL024C	4308	4059	625	6.5208
YAL025C	921	672	3275	206.387
YAL026C	4068	3819	1658	18.3855
YAL027W	786	537	324	25.5512
YAL028W	1587	1338	86	2.72196
YAL029C	4416	4167	2740	27.8463
YAL030W	354	105	219	88.3272
YAL031C	2283	2034	640	13.3251
YAL032C	1140	891	496	23.5746
YAL033W	522	273	307	47.6229
YAL034C	1242	993	326	13.903
YAL034W-A	870	621	274	18.6852
YAL035W	3009	2760	11210	172.003
YAL036C	1110	861	3516	172.936
YAL037C-A	93	1.96996	0	0
YAL037W	804	555	83	6.33323
YAL038W	1503	1254	75150	2537.88
YAL039C	810	561	844	63.7117
YAL040C	1743	1494	1156	32.7678
YAL041W	2565	2316	1404	25.6725
YAL042W	1248	999	4919	208.522
YAL043C	2358	2109	1304	26.1843
YAL044C	513	264	1521	243.986
YAL044W-A	333	84	282	142.171
YAL046C	357	108	234	91.7555
YAL047C	1869	1620	481	12.5739
YAL048C	1989	1740	384	9.34592
YAL049C	741	492	914	78.6721
YAL051W	3144	2895	891	13.0337
YAL053W	2352	2103	2555	51.4507
YAL054C	2142	1893	275	6.15208
YAL055W	543	294	233	33.562
YAL056W	2643	2394	1104	19.5292
YAL058W	1509	1260	680	22.8548
YAL059W	639	390	1573	170.806
YAL060W	1149	900	1200	56.4649
YAL061W	1254	1005	254	10.703
YAL062W	1374	1125	210	7.90509
YAL063C	3969	3720	389.746	4.43689
YAL063C-A	291	42.1305	0	0
YAL064C-A	381	132	11.2519	3.60988
YAL064W	285	36.3667	0	0
YAL064W-B	381	132	9.30144	2.98412
YAL065C	387	138	2.1785	0.668526
YAL067C	1782	1533	53	1.46411
YAL067W-A	228	7.24111	0	0
YAL068C	363	114	0	0
YAR002C-A	660	411	2876	296.338
YAR002W	1620	1371	1802	55.6618
